Pos Zscore Posterior_Prob
2 2.33565153830564 0.00224113
3 0.912506189294018 0.00167753
4 -1.60604481321189 0.00262722
5 0.172354252577191 5.86328e-06
6 -1.61922092487296 0.00236897
7 0.11389363466989 2.36321e-06
8 -1.58852855726449 0.00219454
9 -0.224411680138636 0.00201063
10 3.46127230187428 0.00293459
11 -1.52848305354488 0.00290483
12 -1.58281428659935 0.00557803
13 -1.59656358990109 0.00294949
14 -1.6206624426077 0.00243531
15 -1.59452195778211 0.00332908
16 -1.59747058983627 0.00174693
17 -1.5389970071205 0.00387109
18 -1.60780701339394 0.00275928
19 0.0855412631320265 0.00301575
20 0.101987315632996 7.40119e-07
21 0.489304346407406 0.00285471
22 5.83302543708467 0.999587
23 0.356974929246037 0.000262018
24 -1.65047706131529 0.00330609
25 -1.7037148992306 0.00359661
26 0.524704987315634 0.00398259
27 -1.664390240883 0.00226053
28 0.992443146834718 0.00143023
29 0.583395967726738 0.025298
30 0.158233137543373 0.00254931
31 -1.6196961767154 0.00224053
32 -1.67206170098734 0.00206781
33 2.17370994888676 0.0264458
34 0.608252517232823 0.0133142
35 0.956351605655181 0.00135084
36 2.71343650244815 0.00526308
37 0.105605796410062 7.06295e-07
38 -1.69726443517778 0.00311119
39 -1.58895237662433 0.00265432
40 0.0883977550548761 6.55567e-07
41 2.14613887277608 0.04134
42 0.626795399241826 0.00238214
43 -1.6211677489445 0.00298104
44 -1.66764806799315 0.00306116
45 0.0708650913729323 2.49566e-07
46 -1.68329173209676 0.00282985
47 0.342462979006146 0.0014952
48 -1.67502178033192 0.00270487
49 -1.6243579203854 0.00232224
50 -1.64420463231831 0.00491309
51 -1.12028051244941 0.00162012
52 -0.987986451923194 0.00337454
53 -1.40618680145967 0.00202155
54 -1.66445870501406 0.00206881
55 -1.56623673660423 0.0132151
56 0.201735293303723 0.00231754
57 0.114622300721384 6.12182e-07
58 0.0833333296281125 6.79254e-07
59 0.532096495395164 0.00454714
60 -1.63934907067777 0.00426506
61 3.46104892452891 0.0027284
62 -1.11526952132614 0.0043331
63 0.985518622296073 0.00142697
64 -1.57814884727119 0.00203942
65 -1.53648298777849 0.00191991
66 -1.64437550077766 0.00342298
67 0.0193217286959884 0.107607
68 -1.59805553102293 0.00318135
69 -1.58162633979834 0.00302843
70 -1.13318213275418 0.0026396
71 -1.57247927922148 0.00397223
72 -1.60659108635671 0.00321036
73 -1.15500111866496 0.00177408
